id,price,quantity
p6,49,8
p15,35,8
p14,37,5
p10,49,7
p13,35,1
p7,12,3
p1,13,6
p17,29,1
p15,4,1
p15,33,1
p13,34,6
p18,11,4
p19,10,6
p14,26,4
p19,36,8
p7,13,3
p3,17,3
p14,30,8
p3,4,5
p1,36,5
p10,29,2
p19,37,1
p13,1,5
p8,25,2
p16,15,7
p4,49,4
p14,7,3
p11,22,4
p1,48,2
p9,14,3
p12,25,5
p3,46,1
p18,26,2
p8,28,4
p7,4,4
p4,7,2
p18,49,1
p12,47,5
p17,44,2
p16,4,6
p9,41,8
p19,24,1
p1,11,3
p12,39,3
p11,16,8
p1,18,4
p12,2,1
p18,28,1
p3,16,3
p1,12,7
p12,28,3
p2,20,3
p6,27,3
p5,39,5
p7,41,1
p7,39,7
p4,22,3
p19,36,8
p5,10,2
p17,1,2
p12,38,5
p15,44,5
p2,12,7
p7,42,2
p1,20,8
p0,19,5
p4,49,6
p3,44,3
p8,7,6
p10,3,3
p8,30,7
p2,11,1
p19,11,5
p14,7,6
p3,3,2
p3,13,7
p11,36,7
p4,21,6
p19,5,5
p0,20,1
p3,49,4
p6,27,8
p8,3,8
p3,36,6
p2,13,4
p18,9,1
p11,43,2
p7,37,6
p11,21,4
p12,49,6
p10,12,1
p18,40,2
p12,32,8
p6,12,5
p10,40,2
p9,48,5
p13,26,7
p17,10,6
p9,6,1
p19,41,8
